offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
9213613663960175104	2016-07-13T00:00:00+03:00	2018-02-19T00:00:00+03:00	8900000.0	6	False	3	False	95.3	10.7	47.8		0.0	1	2	Россия, Санкт-Петербург, Хасанская улица, 10к2	8288174079536824864
4732630323474451968	2017-06-19T00:00:00+03:00	2017-06-27T00:00:00+03:00	5350000.0	11	False	2	False	55.0	11.0	30.1		2.0	1	2	Россия, Санкт-Петербург, улица Орджоникидзе, 52	6794467509409024778
8353202309096046533	2017-02-16T00:00:00+03:00	2018-02-07T00:00:00+03:00	3600000.0	11	False	1	False	38.6	10.0	16.0		0.0	1	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Первомайская улица, 15	5131909042114806908
7990883417184116163	2018-04-04T00:00:00+03:00	2018-07-11T00:00:00+03:00	4690000.0	3	False	2	False	70.8	10.9				1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, Европейский проспект, 18к1	4766534529742720796
3498204831891368106	2016-12-20T00:00:00+03:00	2017-03-24T00:00:00+03:00	50000.0	8	False	2	False	74.0	35.0	32.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Ланское шоссе, 14А	7195644060868234030
7340091001891400110	2015-09-01T00:00:00+03:00	2017-03-25T00:00:00+03:00	5100000.0	5	False	3	False	60.0	8.0	40.0		0.0	1	2	Россия, Санкт-Петербург, Гражданский проспект, 90к1	8612452603829713908
9053358351766920449	2016-01-25T00:00:00+03:00	2017-11-18T00:00:00+03:00	4270000.0	11	False	1	False	39.0	8.0	20.1		11.0	1	2	Россия, Санкт-Петербург, Камышовая улица, 54к3	5332522568154768636
8450356842355956224	2017-12-18T00:00:00+03:00	2018-01-23T00:00:00+03:00	3400000.0	2	False	2	False	61.2					1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, городской посёлок Янино-1, Кольцевая улица, 8к1	6499292459953621353
2966036451058314241	2017-11-20T00:00:00+03:00	2018-08-20T00:00:00+03:00	7033000.0	4	False	2	False	57.0					1	2	Россия, Санкт-Петербург, Заставская улица, 46к3	465752808401383107
5177752565079587225	2017-12-02T00:00:00+03:00	2018-08-20T00:00:00+03:00	5150000.0	1	False	3	False	55.9	6.8	22.6			1	2	Россия, Санкт-Петербург, проспект Шаумяна, 79	1176823170275665961
6299717828552604446	2017-07-07T00:00:00+03:00	2017-09-25T00:00:00+03:00	4483250.0	14	False	1	False	39.5	10.4	20.0		0.0	1	2	Россия, Санкт-Петербург, Кременчугская улица, 13к1	9078299753075955873
9069199666280402523	2016-06-21T00:00:00+03:00	2016-08-08T00:00:00+03:00	4540000.0	6	False	1	False	36.1	8.3	18.0		0.0	1	2	Россия, Санкт-Петербург, Богатырский проспект, 4	3198633777593615403
2076056923734643200	2018-01-21T00:00:00+03:00	2018-02-20T00:00:00+03:00	24000.0	4	False	1	False	31.0					2	2	Россия, Санкт-Петербург, Аэродромная улица, 9	1487093664356556692
5028522704317210555	2015-11-26T00:00:00+03:00	2016-11-09T00:00:00+03:00	14600000.0	2	False	1	False	53.9	13.4	25.4		0.0	1	2	Россия, Санкт-Петербург, улица Смольного, 2к3	3529482336223603011
3355253944529446293	2016-11-08T00:00:00+03:00	2016-11-11T00:00:00+03:00	3100000.0	5	False	1	False	36.0	10.5	18.5		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к1	7076615050583066162
4617947929233167682	2017-01-27T00:00:00+03:00	2017-02-03T00:00:00+03:00	4692764.0	17	False	2	False	60.36	14.77	31.07		6.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Итальянский переулок, 4	8130593558849740384
6299725311869842908	2018-03-17T00:00:00+03:00	2018-08-20T00:00:00+03:00	4123000.0	14	False	1	False	39.5	11.0	19.8			1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, проспект Авиаторов Балтики, 7	3959996733305977265
699909545934406026	2015-09-10T00:00:00+03:00	2018-01-21T00:00:00+03:00	2279668.0	4	False	0	True	28.3		21.27			1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к1	7076615050583066162
1529956092566940160	2017-07-01T00:00:00+03:00	2018-08-20T00:00:00+03:00	33687720.0	6	False	3	False	108.6	15.99	63.29		3.0	1	2	Россия, Санкт-Петербург, Кирочная улица, 57	1607170736593814497
1827293747482464513	2018-06-07T00:00:00+03:00	2018-07-06T00:00:00+03:00	20000.0	4	False	2	False	50.0					2	2	Россия, Ленинградская область, Всеволожский район, Бугровское сельское поселение, посёлок Бугры, Шоссейная улица, 10	7088704422454204820
7258486944642174520	2018-01-22T00:00:00+03:00	2018-02-16T00:00:00+03:00	17950000.0	4	False	3	False	111.0	30.3	44.3			1	2	Россия, Санкт-Петербург, Сестрорецк, улица Первого Мая, 3	6976487065451391865
8775114829818927616	2016-03-21T00:00:00+03:00	2017-03-13T00:00:00+03:00	24000.0	13	False	1	False	45.0	12.0	18.0	100.0	10.0	2	2	Россия, Санкт-Петербург, улица Вавиловых, 7к4	7829185807584378462
